driverId,givenName,familyName,dateOfBirth,nationality
alonso,Fernando,Alonso,1981-07-29,Spanish
jules_bianchi,Jules,Bianchi,1989-08-03,French
bottas,Valtteri,Bottas,1989-08-28,Finnish
button,Jenson,Button,1980-01-19,British
chilton,Max,Chilton,1991-04-21,British
ericsson,Marcus,Ericsson,1990-09-02,Swedish
grosjean,Romain,Grosjean,1986-04-17,French
gutierrez,Esteban,Gutiérrez,1991-08-05,Mexican
hamilton,Lewis,Hamilton,1985-01-07,British
hulkenberg,Nico,Hülkenberg,1987-08-19,German
kobayashi,Kamui,Kobayashi,1986-09-13,Japanese
kvyat,Daniil,Kvyat,1994-04-26,Russian
kevin_magnussen,Kevin,Magnussen,1992-10-05,Danish
maldonado,Pastor,Maldonado,1985-03-09,Venezuelan
massa,Felipe,Massa,1981-04-25,Brazilian
perez,Sergio,Pérez,1990-01-26,Mexican
raikkonen,Kimi,Räikkönen,1979-10-17,Finnish
ricciardo,Daniel,Ricciardo,1989-07-01,Australian
rosberg,Nico,Rosberg,1985-06-27,German
sutil,Adrian,Sutil,1983-01-11,German
vergne,Jean-Éric,Vergne,1990-04-25,French
vettel,Sebastian,Vettel,1987-07-03,German
lotterer,André,Lotterer,1981-11-19,German
stevens,Will,Stevens,1991-06-28,British
nasr,Felipe,Nasr,1992-08-21,Brazilian
sainz,Carlos,Sainz,1994-09-01,Spanish
max_verstappen,Max,Verstappen,1997-09-30,Dutch
merhi,Roberto,Merhi,1991-03-22,Spanish
rossi,Alexander,Rossi,1991-09-25,American
haryanto,Rio,Haryanto,1993-01-22,Indonesian
jolyon_palmer,Jolyon,Palmer,1991-01-20,British
wehrlein,Pascal,Wehrlein,1994-10-18,German
vandoorne,Stoffel,Vandoorne,1992-03-26,Belgian
ocon,Esteban,Ocon,1996-09-17,French
giovinazzi,Antonio,Giovinazzi,1993-12-14,Italian
stroll,Lance,Stroll,1998-10-29,Canadian
resta,Paul,di Resta,1986-04-16,British
gasly,Pierre,Gasly,1996-02-07,French
brendon_hartley,Brendon,Hartley,1989-11-10,New Zealander
leclerc,Charles,Leclerc,1997-10-16,Monegasque
sirotkin,Sergey,Sirotkin,1995-08-27,Russian
albon,Alexander,Albon,1996-03-23,Thai
kubica,Robert,Kubica,1984-12-07,Polish
norris,Lando,Norris,1999-11-13,British
russell,George,Russell,1998-02-15,British
latifi,Nicholas,Latifi,1995-06-29,Canadian
aitken,Jack,Aitken,1995-09-23,British
pietro_fittipaldi,Pietro,Fittipaldi,1996-06-25,Brazilian
mazepin,Nikita,Mazepin,1999-03-02,Russian
mick_schumacher,Mick,Schumacher,1999-03-22,German
tsunoda,Yuki,Tsunoda,2000-05-11,Japanese
zhou,Guanyu,Zhou,1999-05-30,Chinese
de_vries,Nyck,de Vries,1995-02-06,Dutch
piastri,Oscar,Piastri,2001-04-06,Australian
sargeant,Logan,Sargeant,2000-12-31,American
lawson,Liam,Lawson,2002-02-11,New Zealander
bearman,Oliver,Bearman,2005-05-08,British
colapinto ,Franco,Colapinto ,2003-05-27,Argentinian 
